age,sex,category,population
0,M,ledig,395
0,M,verheiratet,0
0,M,geschieden,0
0,M,verwitwet,0
1,M,ledig,402
1,M,verheiratet,0
1,M,geschieden,0
1,M,verwitwet,0
2,M,ledig,410
2,M,verheiratet,0
2,M,geschieden,0
2,M,verwitwet,0
3,M,ledig,414
3,M,verheiratet,0
3,M,geschieden,0
3,M,verwitwet,0
4,M,ledig,416
4,M,verheiratet,0
4,M,geschieden,0
4,M,verwitwet,0
5,M,ledig,404
5,M,verheiratet,0
5,M,geschieden,0
5,M,verwitwet,0
6,M,ledig,398
6,M,verheiratet,0
6,M,geschieden,0
6,M,verwitwet,0
7,M,ledig,384
7,M,verheiratet,0
7,M,geschieden,0
7,M,verwitwet,0
8,M,ledig,384
8,M,verheiratet,0
8,M,geschieden,0
8,M,verwitwet,0
9,M,ledig,375
9,M,verheiratet,0
9,M,geschieden,0
9,M,verwitwet,0
10,M,ledig,384
10,M,verheiratet,0
10,M,geschieden,0
10,M,verwitwet,0
11,M,ledig,379
11,M,verheiratet,0
11,M,geschieden,0
11,M,verwitwet,0
12,M,ledig,388
12,M,verheiratet,0
12,M,geschieden,0
12,M,verwitwet,0
13,M,ledig,386
13,M,verheiratet,0
13,M,geschieden,0
13,M,verwitwet,0
14,M,ledig,379
14,M,verheiratet,0
14,M,geschieden,0
14,M,verwitwet,0
15,M,ledig,383
15,M,verheiratet,0
15,M,geschieden,0
15,M,verwitwet,0
16,M,ledig,392
16,M,verheiratet,0
16,M,geschieden,0
16,M,verwitwet,0
17,M,ledig,392
17,M,verheiratet,0
17,M,geschieden,0
17,M,verwitwet,0
18,M,ledig,403
18,M,verheiratet,0
18,M,geschieden,0
18,M,verwitwet,0
19,M,ledig,421
19,M,verheiratet,0
19,M,geschieden,0
19,M,verwitwet,0
20,M,ledig,450
20,M,verheiratet,1
20,M,geschieden,0
20,M,verwitwet,0
21,M,ledig,464
21,M,verheiratet,3
21,M,geschieden,0
21,M,verwitwet,0
22,M,ledig,472
22,M,verheiratet,5
22,M,geschieden,0
22,M,verwitwet,0
23,M,ledig,491
23,M,verheiratet,10
23,M,geschieden,0
23,M,verwitwet,0
24,M,ledig,481
24,M,verheiratet,16
24,M,geschieden,1
24,M,verwitwet,0
25,M,ledig,465
25,M,verheiratet,25
25,M,geschieden,1
25,M,verwitwet,0
26,M,ledig,458
26,M,verheiratet,38
26,M,geschieden,2
26,M,verwitwet,0
27,M,ledig,455
27,M,verheiratet,54
27,M,geschieden,2
27,M,verwitwet,0
28,M,ledig,440
28,M,verheiratet,74
28,M,geschieden,4
28,M,verwitwet,0
29,M,ledig,431
29,M,verheiratet,99
29,M,geschieden,5
29,M,verwitwet,0
30,M,ledig,443
30,M,verheiratet,133
30,M,geschieden,7
30,M,verwitwet,0
31,M,ledig,408
31,M,verheiratet,156
31,M,geschieden,10
31,M,verwitwet,0
32,M,ledig,392
32,M,verheiratet,183
32,M,geschieden,12
32,M,verwitwet,0
33,M,ledig,359
33,M,verheiratet,200
33,M,geschieden,14
33,M,verwitwet,0
34,M,ledig,328
34,M,verheiratet,213
34,M,geschieden,17
34,M,verwitwet,0
35,M,ledig,300
35,M,verheiratet,221
35,M,geschieden,19
35,M,verwitwet,0
36,M,ledig,280
36,M,verheiratet,234
36,M,geschieden,22
36,M,verwitwet,0
37,M,ledig,263
37,M,verheiratet,245
37,M,geschieden,25
37,M,verwitwet,0
38,M,ledig,253
38,M,verheiratet,260
38,M,geschieden,29
38,M,verwitwet,1
39,M,ledig,234
39,M,verheiratet,268
39,M,geschieden,32
39,M,verwitwet,1
40,M,ledig,222
40,M,verheiratet,277
40,M,geschieden,35
40,M,verwitwet,1
41,M,ledig,199
41,M,verheiratet,272
41,M,geschieden,37
41,M,verwitwet,1
42,M,ledig,187
42,M,verheiratet,274
42,M,geschieden,40
42,M,verwitwet,1
43,M,ledig,176
43,M,verheiratet,277
43,M,geschieden,43
43,M,verwitwet,1
44,M,ledig,163
44,M,verheiratet,277
44,M,geschieden,45
44,M,verwitwet,1
45,M,ledig,152
45,M,verheiratet,275
45,M,geschieden,46
45,M,verwitwet,1
46,M,ledig,147
46,M,verheiratet,280
46,M,geschieden,50
46,M,verwitwet,2
47,M,ledig,141
47,M,verheiratet,286
47,M,geschieden,52
47,M,verwitwet,2
48,M,ledig,147
48,M,verheiratet,311
48,M,geschieden,60
48,M,verwitwet,2
49,M,ledig,156
49,M,verheiratet,344
49,M,geschieden,69
49,M,verwitwet,3
50,M,ledig,156
50,M,verheiratet,358
50,M,geschieden,74
50,M,verwitwet,3
51,M,ledig,160
51,M,verheiratet,389
51,M,geschieden,83
51,M,verwitwet,4
52,M,ledig,161
52,M,verheiratet,408
52,M,geschieden,90
52,M,verwitwet,5
53,M,ledig,157
53,M,verheiratet,422
53,M,geschieden,95
53,M,verwitwet,6
54,M,ledig,151
54,M,verheiratet,438
54,M,geschieden,100
54,M,verwitwet,7
55,M,ledig,142
55,M,verheiratet,444
55,M,geschieden,102
55,M,verwitwet,7
56,M,ledig,136
56,M,verheiratet,455
56,M,geschieden,106
56,M,verwitwet,9
57,M,ledig,125
57,M,verheiratet,455
57,M,geschieden,105
57,M,verwitwet,9
58,M,ledig,113
58,M,verheiratet,444
58,M,geschieden,101
58,M,verwitwet,10
59,M,ledig,103
59,M,verheiratet,438
59,M,geschieden,98
59,M,verwitwet,11
60,M,ledig,93
60,M,verheiratet,428
60,M,geschieden,92
60,M,verwitwet,12
61,M,ledig,83
61,M,verheiratet,419
61,M,geschieden,87
61,M,verwitwet,13
62,M,ledig,73
62,M,verheiratet,398
62,M,geschieden,80
62,M,verwitwet,14
63,M,ledig,66
63,M,verheiratet,390
63,M,geschieden,75
63,M,verwitwet,15
64,M,ledig,59
64,M,verheiratet,381
64,M,geschieden,70
64,M,verwitwet,16
65,M,ledig,52
65,M,verheiratet,368
65,M,geschieden,64
65,M,verwitwet,17
66,M,ledig,46
66,M,verheiratet,357
66,M,geschieden,60
66,M,verwitwet,19
67,M,ledig,41
67,M,verheiratet,344
67,M,geschieden,55
67,M,verwitwet,20
68,M,ledig,37
68,M,verheiratet,343
68,M,geschieden,52
68,M,verwitwet,21
69,M,ledig,33
69,M,verheiratet,335
69,M,geschieden,48
69,M,verwitwet,23
70,M,ledig,31
70,M,verheiratet,332
70,M,geschieden,45
70,M,verwitwet,25
71,M,ledig,27
71,M,verheiratet,320
71,M,geschieden,41
71,M,verwitwet,26
72,M,ledig,22
72,M,verheiratet,289
72,M,geschieden,36
72,M,verwitwet,26
73,M,ledig,19
73,M,verheiratet,266
73,M,geschieden,32
73,M,verwitwet,26
74,M,ledig,16
74,M,verheiratet,226
74,M,geschieden,26
74,M,verwitwet,24
75,M,ledig,13
75,M,verheiratet,191
75,M,geschieden,21
75,M,verwitwet,23
76,M,ledig,15
76,M,verheiratet,251
76,M,geschieden,26
76,M,verwitwet,33
77,M,ledig,15
77,M,verheiratet,247
77,M,geschieden,24
77,M,verwitwet,36
78,M,ledig,14
78,M,verheiratet,231
78,M,geschieden,22
78,M,verwitwet,37
79,M,ledig,15
79,M,verheiratet,266
79,M,geschieden,23
79,M,verwitwet,48
80,M,ledig,15
