location,time,count
Rio Salado Pkwy & Mill Ave,16,4
Rio Salado Pkwy & Mill Ave,16,3
Rio Salado Pkwy & Mill Ave,16,2
Rio Salado Pkwy & Mill Ave,16,1
Rio Salado Pkwy & Mill Ave,16.25,5
Rio Salado Pkwy & Mill Ave,16.25,2
Rio Salado Pkwy & Mill Ave,16.25,0
Rio Salado Pkwy & Mill Ave,16.25,2
Rio Salado Pkwy & Mill Ave,16.5,6
Rio Salado Pkwy & Mill Ave,16.5,6
Rio Salado Pkwy & Mill Ave,16.5,0
Rio Salado Pkwy & Mill Ave,16.5,0
Rio Salado Pkwy & Mill Ave,16.75,0
Rio Salado Pkwy & Mill Ave,16.75,7
Rio Salado Pkwy & Mill Ave,16.75,1
Rio Salado Pkwy & Mill Ave,16.75,1
Rio Salado Pkwy & Mill Ave,17,2
Rio Salado Pkwy & Mill Ave,17,4
Rio Salado Pkwy & Mill Ave,17,0
Rio Salado Pkwy & Mill Ave,17,1
Rio Salado Pkwy & Mill Ave,17.25,3
Rio Salado Pkwy & Mill Ave,17.25,3
Rio Salado Pkwy & Mill Ave,17.25,2
Rio Salado Pkwy & Mill Ave,17.25,1
Rio Salado Pkwy & Mill Ave,17.5,7
Rio Salado Pkwy & Mill Ave,17.5,4
Rio Salado Pkwy & Mill Ave,17.5,3
Rio Salado Pkwy & Mill Ave,17.5,0
Rio Salado Pkwy & Mill Ave,17.75,1
Rio Salado Pkwy & Mill Ave,17.75,5
Rio Salado Pkwy & Mill Ave,17.75,0
Rio Salado Pkwy & Mill Ave,17.75,1
Rio Salado Pkwy & Mill Ave,7,2
Rio Salado Pkwy & Mill Ave,7,1
Rio Salado Pkwy & Mill Ave,7,0
Rio Salado Pkwy & Mill Ave,7,0
Rio Salado Pkwy & Mill Ave,7.25,1
Rio Salado Pkwy & Mill Ave,7.25,5
Rio Salado Pkwy & Mill Ave,7.25,1
Rio Salado Pkwy & Mill Ave,7.25,0
Rio Salado Pkwy & Mill Ave,7.5,0
Rio Salado Pkwy & Mill Ave,7.5,0
Rio Salado Pkwy & Mill Ave,7.5,0
Rio Salado Pkwy & Mill Ave,7.5,0
Rio Salado Pkwy & Mill Ave,7.75,0
Rio Salado Pkwy & Mill Ave,7.75,0
Rio Salado Pkwy & Mill Ave,7.75,1
Rio Salado Pkwy & Mill Ave,7.75,0
Rio Salado Pkwy & Mill Ave,8,0
Rio Salado Pkwy & Mill Ave,8,0
Rio Salado Pkwy & Mill Ave,8,2
Rio Salado Pkwy & Mill Ave,8,1
Rio Salado Pkwy & Mill Ave,8.25,2
Rio Salado Pkwy & Mill Ave,8.25,4
Rio Salado Pkwy & Mill Ave,8.25,0
Rio Salado Pkwy & Mill Ave,8.25,1
Rio Salado Pkwy & Mill Ave,8.5,1
Rio Salado Pkwy & Mill Ave,8.5,2
Rio Salado Pkwy & Mill Ave,8.5,1
Rio Salado Pkwy & Mill Ave,8.5,0
Rio Salado Pkwy & Mill Ave,8.75,1
Rio Salado Pkwy & Mill Ave,8.75,1
Rio Salado Pkwy & Mill Ave,8.75,2
Rio Salado Pkwy & Mill Ave,8.75,1
Rio Salado Pkwy & Mill Ave,16,0
Rio Salado Pkwy & Mill Ave,16,0
Rio Salado Pkwy & Mill Ave,16,0
Rio Salado Pkwy & Mill Ave,16,0
Rio Salado Pkwy & Mill Ave,16.25,4
Rio Salado Pkwy & Mill Ave,16.25,1
Rio Salado Pkwy & Mill Ave,16.25,0
Rio Salado Pkwy & Mill Ave,16.25,0
Rio Salado Pkwy & Mill Ave,16.5,3
Rio Salado Pkwy & Mill Ave,16.5,0
Rio Salado Pkwy & Mill Ave,16.5,2
Rio Salado Pkwy & Mill Ave,16.5,3
Rio Salado Pkwy & Mill Ave,16.75,3
Rio Salado Pkwy & Mill Ave,16.75,4
Rio Salado Pkwy & Mill Ave,16.75,2
Rio Salado Pkwy & Mill Ave,16.75,0
Rio Salado Pkwy & Mill Ave,17,3
Rio Salado Pkwy & Mill Ave,17,10
Rio Salado Pkwy & Mill Ave,17,1
Rio Salado Pkwy & Mill Ave,17,1
Rio Salado Pkwy & Mill Ave,17.25,1
Rio Salado Pkwy & Mill Ave,17.25,2
Rio Salado Pkwy & Mill Ave,17.25,0
Rio Salado Pkwy & Mill Ave,17.25,1
Rio Salado Pkwy & Mill Ave,17.5,4
Rio Salado Pkwy & Mill Ave,17.5,4
Rio Salado Pkwy & Mill Ave,17.5,2
Rio Salado Pkwy & Mill Ave,17.5,3
Rio Salado Pkwy & Mill Ave,17.75,2
Rio Salado Pkwy & Mill Ave,17.75,7
Rio Salado Pkwy & Mill Ave,17.75,3
Rio Salado Pkwy & Mill Ave,17.75,0
5th St & Mill Ave,7,0
5th St & Mill Ave,7,1
5th St & Mill Ave,7,0
5th St & Mill Ave,7,1
5th St & Mill Ave,7.25,1
5th St & Mill Ave,7.25,2
5th St & Mill Ave,7.25,1
5th St & Mill Ave,7.25,0
5th St & Mill Ave,7.5,1
5th St & Mill Ave,7.5,1
5th St & Mill Ave,7.5,0
5th St & Mill Ave,7.5,0
5th St & Mill Ave,7.75,1
5th St & Mill Ave,7.75,0
5th St & Mill Ave,7.75,2
5th St & Mill Ave,7.75,2
5th St & Mill Ave,8,1
5th St & Mill Ave,8,5
5th St & Mill Ave,8,0
5th St & Mill Ave,8,1
5th St & Mill Ave,8.25,1
5th St & Mill Ave,8.25,3
5th St & Mill Ave,8.25,2
5th St & Mill Ave,8.25,0
5th St & Mill Ave,8.5,1
5th St & Mill Ave,8.5,3
5th St & Mill Ave,8.5,4
5th St & Mill Ave,8.5,1
5th St & Mill Ave,8.75,1
5th St & Mill Ave,8.75,2
5th St & Mill Ave,8.75,5
5th St & Mill Ave,8.75,0
5th St & Mill Ave,16,4
5th St & Mill Ave,16,4
5th St & Mill Ave,16,7
5th St & Mill Ave,16,3
5th St & Mill Ave,16.25,2
5th St & Mill Ave,16.25,3
5th St & Mill Ave,16.25,2
5th St & Mill Ave,16.25,8
5th St & Mill Ave,16.5,5
5th St & Mill Ave,16.5,4
5th St & Mill Ave,16.5,0
5th St & Mill Ave,16.5,4
5th St & Mill Ave,16.75,0
5th St & Mill Ave,16.75,2
5th St & Mill Ave,16.75,1
5th St & Mill Ave,16.75,2
