train,speed,schedule,direction,station,distance,zone,time
102,normal,weekday,S,San Francisco,0,1,4:55am
102,normal,weekday,S,22nd Street,40,1,5:00am
102,normal,weekday,S,Bayshore,124,1,5:05am
102,normal,weekday,S,So. San Francisco,178,1,5:11am
102,normal,weekday,S,San Bruno,216,1,5:15am
102,normal,weekday,S,Millbrae,249,2,5:19am
102,normal,weekday,S,Burlingame,307,2,5:23am
102,normal,weekday,S,San Mateo,334,2,5:26am
102,normal,weekday,S,Hayward Park,354,2,5:29am
102,normal,weekday,S,Hillsdale,391,2,5:32am
102,normal,weekday,S,Belmont,428,2,5:35am
102,normal,weekday,S,San Carlos,458,2,5:38am
102,normal,weekday,S,Redwood City,499,2,5:43am
102,normal,weekday,S,Menlo Park,574,3,5:48am
102,normal,weekday,S,Palo Alto,604,3,5:51am
102,normal,weekday,S,California Ave,649,3,5:55am
102,normal,weekday,S,San Antonio,676,3,5:59am
102,normal,weekday,S,Mountain View,702,3,6:03am
102,normal,weekday,S,Sunnyvale,731,3,6:08am
102,normal,weekday,S,Lawrence,757,4,6:12am
102,normal,weekday,S,Santa Clara,805,4,6:17am
102,normal,weekday,S,San Jose,862,4,6:26am
104,normal,weekday,S,San Francisco,0,1,5:25am
104,normal,weekday,S,22nd Street,40,1,5:30am
104,normal,weekday,S,Bayshore,124,1,5:35am
104,normal,weekday,S,So. San Francisco,178,1,5:41am
104,normal,weekday,S,San Bruno,216,1,5:45am
104,normal,weekday,S,Millbrae,249,2,5:49am
104,normal,weekday,S,Burlingame,307,2,5:53am
104,normal,weekday,S,San Mateo,334,2,5:56am
104,normal,weekday,S,Hayward Park,354,2,5:59am
104,normal,weekday,S,Hillsdale,391,2,6:02am
104,normal,weekday,S,Belmont,428,2,6:05am
104,normal,weekday,S,San Carlos,458,2,6:08am
104,normal,weekday,S,Redwood City,499,2,6:13am
104,normal,weekday,S,Menlo Park,574,3,6:18am
104,normal,weekday,S,Palo Alto,604,3,6:21am
104,normal,weekday,S,California Ave,649,3,6:25am
104,normal,weekday,S,San Antonio,676,3,6:29am
104,normal,weekday,S,Mountain View,702,3,6:33am
104,normal,weekday,S,Sunnyvale,731,3,6:38am
104,normal,weekday,S,Lawrence,757,4,6:42am
104,normal,weekday,S,Santa Clara,805,4,6:47am
104,normal,weekday,S,San Jose,862,4,6:56am
104,normal,weekday,S,Tamien,906,4,7:03am
206,limited,weekday,S,San Francisco,0,1,6:11am
206,limited,weekday,S,22nd Street,40,1,6:16am
206,limited,weekday,S,Millbrae,249,2,6:29am
206,limited,weekday,S,Burlingame,307,2,6:33am
206,limited,weekday,S,San Mateo,334,2,6:36am
206,limited,weekday,S,Hillsdale,391,2,6:40am
206,limited,weekday,S,San Carlos,458,2,6:44am
206,limited,weekday,S,Redwood City,499,2,6:49am
206,limited,weekday,S,Menlo Park,574,3,6:54am
206,limited,weekday,S,Palo Alto,604,3,6:57am
206,limited,weekday,S,California Ave,649,3,7:01am
206,limited,weekday,S,Mountain View,702,3,7:07am
206,limited,weekday,S,Lawrence,757,4,7:12am
206,limited,weekday,S,San Jose,862,4,7:24am
208,limited,weekday,S,San Francisco,0,1,6:24am
208,limited,weekday,S,22nd Street,40,1,6:29am
208,limited,weekday,S,Bayshore,124,1,6:34am
208,limited,weekday,S,So. San Francisco,178,1,6:40am
208,limited,weekday,S,San Bruno,216,1,6:44am
208,limited,weekday,S,Millbrae,249,2,6:48am
208,limited,weekday,S,Burlingame,307,2,6:52am
208,limited,weekday,S,San Mateo,334,2,6:55am
208,limited,weekday,S,Hayward Park,354,2,6:58am
208,limited,weekday,S,Hillsdale,391,2,7:01am
208,limited,weekday,S,Belmont,428,2,7:04am
208,limited,weekday,S,San Carlos,458,2,7:07am
208,limited,weekday,S,Redwood City,499,2,7:12am
208,limited,weekday,S,Palo Alto,604,3,7:18am
208,limited,weekday,S,Santa Clara,805,4,7:34am
208,limited,weekday,S,San Jose,862,4,7:43am
208,limited,weekday,S,Tamien,906,4,7:50am
210,limited,weekday,S,San Francisco,0,1,6:44am
210,limited,weekday,S,22nd Street,40,1,6:49am
210,limited,weekday,S,Millbrae,249,2,7:01am
210,limited,weekday,S,San Mateo,334,2,7:07am
210,limited,weekday,S,San Carlos,458,2,7:13am
210,limited,weekday,S,Redwood City,499,2,7:18am
210,limited,weekday,S,Menlo Park,574,3,7:23am
210,limited,weekday,S,Palo Alto,604,3,7:26am
210,limited,weekday,S,California Ave,649,3,7:30am
210,limited,weekday,S,San Antonio,676,3,7:34am
210,limited,weekday,S,Mountain View,702,3,7:38am
210,limited,weekday,S,Sunnyvale,731,3,7:43am
210,limited,weekday,S,Lawrence,757,4,7:49am
210,limited,weekday,S,Santa Clara,805,4,7:56am
210,limited,weekday,S,College Park,833,4,7:59am
210,limited,weekday,S,San Jose,862,4,8:06am
210,limited,weekday,S,Tamien,906,4,8:13am
312,bullet,weekday,S,San Francisco,0,1,6:59am
312,bullet,weekday,S,22nd Street,40,1,7:04am
312,bullet,weekday,S,Millbrae,249,2,7:17am
