date,value
2008-01-01,475197
2008-02-01,531397
2008-03-01,492336
2008-04-01,579869
2008-05-01,444537
2008-06-01,516609
2008-07-01,434801
2008-08-01,340288
2008-09-01,535893
2008-10-01,448565
2008-11-01,452590
2008-12-01,279948
2009-01-01,310113
2009-02-01,297921
2009-03-01,435693
2009-04-01,373308
2009-05-01,427239
2009-06-01,478133
2009-07-01,410321
2009-08-01,325060
2009-09-01,553205
2009-10-01,508450
2009-11-01,493851
2009-12-01,351229
2010-01-01,376937
2010-02-01,450355
2010-03-01,560055
2010-04-01,464591
2010-05-01,470130
2010-06-01,528820
2010-07-01,392553
2010-08-01,335748
2010-09-01,536468
2010-10-01,502507
2010-11-01,519765
2010-12-01,414480
2011-01-01,398078
2011-02-01,519342
2011-03-01,583399
2011-04-01,470463
2011-05-01,563015
2011-06-01,456548
2011-07-01,462005
2011-08-01,396706
2011-09-01,562504
2011-10-01,502897
2011-11-01,546272
2011-12-01,410689
2012-01-01,443510
2012-02-01,508798
2012-03-01,546169
2012-04-01,426321
2012-05-01,448045
2012-06-01,463839
2012-07-01,460830
2012-08-01,363254
2012-09-01,450072
2012-10-01,454716
2012-11-01,482406
2012-12-01,340499
2013-01-01,397634
2013-02-01,459180
2013-03-01,474467
2013-04-01,502411
2013-05-01,428684
2013-06-01,475779
2013-07-01,444960
2013-08-01,394991
2013-09-01,514468
2013-10-01,456669
2013-11-01,537383
2013-12-01,353278
2014-01-01,442430
2014-02-01,513041
2014-03-01,522428
2014-04-01,494416
2014-05-01,482483
2014-06-01,456069
2014-07-01,535001
2014-08-01,272744
2014-09-01,524072
2014-10-01,478999
2014-11-01,515340
2014-12-01,367003
2015-01-01,421510
2015-02-01,501118
2015-03-01,556049
2015-04-01,479631
2015-05-01,447925
2015-06-01,513315
2015-07-01,533264
2015-08-01,338834
2015-09-01,538149
2015-10-01,529856
2015-11-01,518512
2015-12-01,329975
2016-01-01,416983
2016-02-01,529061
2016-03-01,523210
2016-04-01,550158
2016-05-01,445393
2016-06-01,563546
2016-07-01,410630
2016-08-01,410256
2016-09-01,529463
2016-10-01,464434
2016-11-01,535180
2016-12-01,368494
