batch,value
2,698.254
2,587.145
1,815.754
2,581.593
2,606.188
2,682.426
1,744.822
1,618.663
1,763.828
2,581.047
2,577.409
1,663.622
2,711.301
1,592.252
2,585.45
2,748.13
1,642.469
2,571.76
2,648.935
2,676.678
1,682.461
2,641.083
1,566.085
1,597.5
2,611.048
2,592.845
2,616.791
2,538.239
2,621.761
1,697.626
1,738.213
1,712.199
2,605.38
1,726.232
1,666.83
1,720.186
1,670.308
1,713.796
1,753.333
1,730.217
2,665.924
1,689.942
1,600.84
2,698.254
1,663.009
1,769.424
2,593.537
1,668.53
1,619.942
2,596.129
1,730.706
1,750.623
1,625
2,605.214
2,723.505
1,687.665
2,725.792
1,547.099
1,776.488
2,583.827
1,777.392
1,666.893
1,603.363
2,624.256
1,694.43
2,620.227
1,708.885
2,549.227
2,644.355
2,621.774
1,658.796
1,744.845
1,701.716
1,502.825
2,605.453
2,655.86
1,709.771
1,624.973
1,739.086
2,689.576
1,614.664
2,778.011
1,697.075
2,617.441
2,624.972
1,633.417
1,382.133
2,623.063
1,573.109
1,681.667
1,790.382
2,624.542
1,596.667
2,647.844
2,608.539
2,584.192
1,637.41
2,610.882
2,679.585
1,695.668
2,570.964
2,640.371
1,618.134
2,584.625
1,640.193
2,582.682
1,734.203
1,690.773
1,700.228
2,569.858
2,540.316
2,584.319
2,662.131
2,552.304
1,636.738
1,721.343
2,569.67
1,712.14
1,736.648
2,645.192
2,569.245
2,558.041
1,761.43
2,583.994
1,639.09
2,644.223
2,662.51
2,567.53
1,734.04
1,708.583
2,622.506
1,752.417
1,693.333
1,687.448
2,595.819
2,551.953
2,605.694
1,695.274
2,729.314
2,611.874
2,621.779
1,545.61
1,642.56
1,546.928
1,712.386
2,620.833
1,673.903
1,695.278
2,566.969
1,689.556
2,511.03
2,554.815
2,632.585
2,645.321
1,718.333
1,760
2,612.182
1,656.773
2,700.422
2,711.667
1,690.978
1,684.181
2,630.778
2,617.4
1,768.08
2,702.411
2,599.304
1,722.242
1,588.288
1,745.527
1,751.669
1,725.663
2,659.982
1,729.167
1,720.506
2,603.232
1,773.226
1,692.945
1,708.229
2,599.771
2,585.777
2,700.767
1,775.272
2,612.727
2,557.772
2,684.167
1,729.23
1,698.818
2,494.122
1,720.872
1,723.276
1,660.062
1,625.922
1,629.012
2,594.534
1,624.993
2,583.17
2,555.724
2,569.53
1,698.915
2,345.294
1,644.156
1,724.193
1,760.599
1,708.193
1,632.633
1,746.467
1,686.196
1,614.417
2,588.113
1,690.32
1,682.5
2,703.98
2,713.812
2,545.303
2,581.879
2,565.391
1,640.898
1,766.63
2,715.711
1,670.864
1,747.5
1,674.6
2,640.26
1,737.144
2,747.541
2,571.551
1,728.746
2,612.135
1,759.581
2,761.511
1,687.87
1,690.38
1,531.021
1,715.286
1,704.904
1,630.352
1,714.98
2,591.935
1,740.833
2,635.24
2,587.451
2,521.667
1,611.999
1,717.159
1,683.382
2,472.463
2,674.717
2,621.471
1,688.333
1,707.977
2,447.701
1,735.919
2,538.097
2,577.176
2,590.628
1,710.858
1,761.363
2,576.731
1,759.86
2,610.337
2,613.257
2,628.109
1,697.979
1,752.305
1,740.447
2,639.167
1,681.236
1,684.812
2,602.66
1,677.933
2,627.516
2,619.313
1,659.502
2,569.599
2,612.7
1,744.819
1,530.68
2,611.19
1,591.193
2,707.117
1,701.341
1,664.666
1,719.744
1,439.418
2,549.278
2,676.656
1,719.217
2,587.695
1,658.116
2,616.43
2,631.754
2,595.686
1,776.197
1,755.864
1,638.794
2,671.35
2,811.97
2,565.737
2,603.883
1,684.523
1,609.989
1,624.972
1,723.657
1,797.662
2,551.87
1,682.051
1,728.499
2,724.175
1,708.261
2,615.129
2,549.491
2,651.934
2,608.96
2,570.999
1,690.826
2,595.335
2,587.451
1,723.502
1,716.106
1,697.239
1,659.534
2,631.754
2,672.153
1,725.527
1,758.333
2,606.46
1,671.492
2,593.516
2,623.315
2,577.722
1,743.973
2,620.948
2,583.17
2,548.957
1,703.16
1,735.905
2,574.934
2,577.409
2,627.65
1,504.167
1,635.079
1,763.124
1,700.77
2,665.004
1,716.926
2,579.459
1,695.07
2,586.035
1,700.748
1,778.333
2,540.079
1,732.039
2,581.667
1,685.199
1,691.542
2,608.643
2,654.397
2,611.719
2,589.226
2,566.127
2,464.085
1,729.591
2,645.932
2,628.336
2,553.978
1,650.771
1,727.201
1,786.367
1,693.623
2,534.905
1,723.349
2,757.12
1,611.874
2,472.125
2,707.604
2,588.375
2,555.926
1,710.272
1,730.781
2,589.453
2,620.087
1,795.833
2,531.384
2,689.942
1,674.481
1,714.75
2,643.449
2,563.29
1,619.137
1,738.333
1,715.224
2,512.394
1,663.851
2,599.751
2,598.853
1,691.604
1,766.532
2,575.303
1,738.161
1,703.7
2,623.338
2,594.534
1,731.667
1,750.338
1,680.203
2,617.246
1,750.623
1,658.754
2,586.06
2,627.88
1,675.957
