name,region,year,income,population,lifeExpectancy
Angola,Sub-Saharan Africa,1800,359.93,1567028,26.98
Angola,Sub-Saharan Africa,1820,359.93,1567028,
Angola,Sub-Saharan Africa,1913,556.12,,
Angola,Sub-Saharan Africa,1940,,3738000,26.98
Angola,Sub-Saharan Africa,1950,3363.02,4117617,29.22
Angola,Sub-Saharan Africa,1951,3440.9,4173095,29.42
Angola,Sub-Saharan Africa,1952,3520.61,4232095,29.81
Angola,Sub-Saharan Africa,1953,3598.81,4293840,30.21
Angola,Sub-Saharan Africa,1954,3450.82,4357527,30.6
Angola,Sub-Saharan Africa,1955,3672.08,4423223,31
Angola,Sub-Saharan Africa,1956,3549.04,4490992,31.4
Angola,Sub-Saharan Africa,1957,3827.94,4561361,31.8
Angola,Sub-Saharan Africa,1958,3966.42,4635885,32.2
Angola,Sub-Saharan Africa,1959,3917.76,4714676,32.6
Angola,Sub-Saharan Africa,1960,4006.21,4797344,33
Angola,Sub-Saharan Africa,1961,4463.83,4752489,33.4
Angola,Sub-Saharan Africa,1962,4269.28,4826015,33.8
Angola,Sub-Saharan Africa,1963,4413.6,4919586,34.2
Angola,Sub-Saharan Africa,1964,4826.49,5026044,34.6
Angola,Sub-Saharan Africa,1965,5102.21,5134818,35
Angola,Sub-Saharan Africa,1966,5308.14,5201250,35.4
Angola,Sub-Saharan Africa,1967,5522.78,5247469,35.8
Angola,Sub-Saharan Africa,1968,5346.63,5350384,36.2
Angola,Sub-Saharan Africa,1969,5408.12,5471641,36.6
Angola,Sub-Saharan Africa,1970,5651.88,5605626,37
Angola,Sub-Saharan Africa,1971,5526.21,5752775,37.41
Angola,Sub-Saharan Africa,1972,5473.29,5894858,37.83
Angola,Sub-Saharan Africa,1973,5722.02,6025841,38.26
Angola,Sub-Saharan Africa,1974,5470.21,5986432,38.68
Angola,Sub-Saharan Africa,1975,3430.85,5884241,39.09
Angola,Sub-Saharan Africa,1976,3050.32,5942225,39.46
Angola,Sub-Saharan Africa,1977,3008.65,6162675,39.8
Angola,Sub-Saharan Africa,1978,3070.82,6285716,40.1
Angola,Sub-Saharan Africa,1979,3064.89,6451227,40.34
Angola,Sub-Saharan Africa,1980,3074.75,6741465,40.55
Angola,Sub-Saharan Africa,1981,2953.41,6877697,40.71
Angola,Sub-Saharan Africa,1982,2756.95,7016384,40.85
Angola,Sub-Saharan Africa,1983,2584.56,7238214,40.97
Angola,Sub-Saharan Africa,1984,2527.47,7439658,41.08
Angola,Sub-Saharan Africa,1985,2492.83,7581504,41.2
Angola,Sub-Saharan Africa,1986,2220.61,7744932,41.33
Angola,Sub-Saharan Africa,1987,2430.21,7874230,41.48
Angola,Sub-Saharan Africa,1988,2728.53,8018724,41.64
Angola,Sub-Saharan Africa,1989,2730.56,8148595,41.81
Angola,Sub-Saharan Africa,1990,2777.42,8290856,41.99
Angola,Sub-Saharan Africa,1991,2730.85,8490763,42.16
Angola,Sub-Saharan Africa,1992,2627.85,8735988,42.32
Angola,Sub-Saharan Africa,1993,1869.92,8961438,42.46
Angola,Sub-Saharan Africa,1994,1851.45,9170032,42.59
